actor_name,actor_parameters,algorithm,censored,collection_duration,collection_throughput,completed_lap_count,completed_lap_denominator,completed_lap_time_mean,confirmation_duration,confirmation_interactions,converged,convergence_duration,convergence_interactions,critic_parameters,end_to_end_duration,episodes_to_confirmation,episodes_to_convergence,evaluation_duration,final_completion_count,final_completion_rate,final_crash_count,final_crash_rate,final_evaluation_count,final_mean_progress,final_mean_return,final_return_minus_best,final_window_return_change,final_window_return_range,late_completion_rate,late_evaluation_count,late_mean_return,late_minimum_return,observation_type,optimization_duration,peak_process_memory,persistence_duration,progress_auc,restricted_convergence_duration,restricted_convergence_interactions,restricted_episodes_to_convergence,return_auc,root_identity,run_checksum,run_id,total_parameters,training_duration,training_interactions,training_throughput
large,67844,a2c,false,316.4884149003483,6319.346635894188,1,1,29.84,91.50129209997976,500000,true,73.78543909974906,400000,4609,376.60977589999675,2436,2267,6.799173999999766,1,1.0,0,0.0,1,1.0003294610051874,205.75974630355176,-11.845073550185418,152.1505502637373,155.61477041717254,0.75,8,168.45325997935225,30.321161996133903,frenet,41.7427394999977,1059676160,7.383201000000554,0.8530030834328979,73.78543909974906,400000,2267,163.202775645461,0,79483ebc146b1df6037bfdefe2a5ebef8b6b50e1c6aa7cafe647a1f5e5a53fe5,a2c-large-frenet-seed-0,72453,358.231154400346,2000000,5582.987340528382
large,67844,a2c,false,318.3196831992209,6282.991927798246,1,1,31.92,210.47330179966957,1150000,true,192.7507114999753,1050000,4609,378.53008620000037,5138,5016,5.331924900008744,1,1.0,0,0.0,1,1.000208869940073,196.28363477437887,-18.20631207797453,9.427964756862792,15.222017883617184,0.875,8,162.53108089523198,22.797487032799697,frenet,41.649645600082295,1059676160,9.080370499996206,0.6023995784904899,192.7507114999753,1050000,5016,87.41941260165166,1,cc51518428702630c8f569ab7d1df3225dbe0d40fc30512b3a631d1c552e5082,a2c-large-frenet-seed-1,72453,359.9693287993032,2000000,5556.028916883297
large,67844,a2c,false,289.7724546009231,6901.967278961749,1,1,30.72,141.6318503007642,850000,true,125.33953610072058,750000,4609,345.9559253000007,1907,1771,6.564534999997704,1,1.0,0,0.0,1,1.0000809681399268,201.6678413867616,-9.575679772703808,-3.099214733686324,3.336047826894628,0.625,8,134.64974863587432,-0.46281117539012495,frenet,39.647926299934625,1059676160,6.154571200004284,0.8094445469680401,125.33953610072058,750000,1771,142.83384220761408,2,036b9ec86e6bfd5e7830896fcfe5cbfdfb97f629e8aa21f2a84847ac94fe9c16,a2c-large-frenet-seed-2,72453,329.4203809008577,2000000,6071.26976943761
large,67844,a2c,false,310.33136230063974,6444.724069049972,1,1,27.64,211.6035707004812,1150000,true,195.29241970064686,1050000,4609,378.6214265999988,14749,14614,4.174555000012333,1,1.0,0,0.0,1,1.0001343460305532,215.63661191348484,-8.683152427572281,6.06469942496733,6.06469942496733,0.875,8,195.6807134301371,55.01199939585166,frenet,40.52412849996108,1059676160,19.660585599995102,0.549247733104348,195.29241970064686,1050000,14614,100.49200356323156,3,675edc5dd3b4e5f61850c54ce21edc1c42a4ceb0c15abae300eb37aaa1e0133f,a2c-large-frenet-seed-3,72453,350.8554908006008,2000000,5700.3525737513555
large,67844,a2c,false,290.7406312993662,6878.983481124332,1,1,33.56,109.24840819962992,650000,true,92.80726919964582,550000,4609,350.5282810000026,2469,2329,6.75108050000199,1,1.0,0,0.0,1,1.0002524067529925,188.98514627817042,-22.331411519126505,2.559296346573717,3.56689388812498,0.875,8,162.03748296680834,24.476261682242733,frenet,41.17448859996148,1059676160,7.915055899997242,0.7554201530099042,92.80726919964582,550000,2329,116.40791702000749,4,633a79d137b747782a49079ffbbe14fdced34614b968e67ad42092b81ff0f715,a2c-large-frenet-seed-4,72453,331.9151198993277,2000000,6025.636917675262
medium,4676,a2c,false,312.37285869938205,6402.604913651407,1,1,24.04,161.9002972003218,950000,true,144.93750580030246,850000,4609,354.6639060000016,3298,3147,5.451346599991666,1,1.0,0,0.0,1,1.0000275085512553,231.7760769546337,-3.4303125865518496,-3.4303125865518496,3.4303125865518496,1.0,8,231.15189760234028,221.73408581873304,frenet,25.50671270003295,1059676160,7.230509400000301,0.8070868224255509,144.93750580030246,850000,3147,164.70265893924187,0,e8642391a18bd3d9d8a6bbe63285f0153e8bb29f2495b8a1b6b6d672d1d34c1b,a2c-medium-frenet-seed-0,9285,337.879571399415,2000000,5919.268784781769
medium,4676,a2c,false,299.12868549947234,6686.085611149212,1,1,25.2,203.3192328993391,1250000,true,187.15824449948195,1150000,4609,339.35589679999975,2893,2747,4.973542700023245,1,1.0,0,0.0,1,1.0001230905443204,226.61302449117997,-5.632775077409036,-0.7290706944640419,1.4682629727518304,1.0,8,227.58095609911896,224.58691345266487,frenet,24.906494199978624,1059676160,6.448268300006021,0.7134211694746904,187.15824449948195,1150000,2747,124.25107343405112,1,b3dac8abf7a4757cdfba91623bf232e5701db7f4015080547b63eca5687c361d,a2c-medium-frenet-seed-1,9285,324.03517969945096,2000000,6172.16933622775
medium,4676,a2c,false,298.4093170998276,6702.203602211706,1,1,24.88,113.84685849970992,700000,true,97.89324849976038,600000,4609,339.0935807999995,1647,1517,5.834755000007135,1,1.0,0,0.0,1,1.0001887253216901,228.05694526027563,-6.11767460286589,1.2438896672788076,1.9608800377848183,1.0,8,229.86087143007552,226.81305559299682,frenet,25.007242600040627,1059676160,5.914771400002792,0.8495973832946297,97.89324849976038,600000,1517,169.33549250931208,2,229fe70bb68869840e6623c860267f27642fc2dd85106bd12a954fe566de2830,a2c-medium-frenet-seed-2,9285,323.41655969986823,2000000,6183.97524807019
medium,4676,a2c,false,300.6056557009979,6653.234768108725,1,1,24.88,82.8562480000619,500000,true,66.6761065000901,400000,4609,342.81982049999715,2256,2066,5.872805799994239,1,1.0,0,0.0,1,1.000183828296465,228.05715253754505,-3.638915207232799,-2.603706800530034,3.290756166679728,1.0,8,227.90387212113944,224.45569407994654,frenet,25.0757162999289,1059676160,7.336226300009002,0.8621089503009252,66.6761065000901,400000,2066,185.9622000781584,3,135ee0df4e08dbe9e6b5fa22b3297252ca0aa88837f5be846a808b4aa96d807e,a2c-medium-frenet-seed-3,9285,325.6813720009268,2000000,6140.971427725098
medium,4676,a2c,false,309.4874940001537,6462.29666391304,1,1,25.48,153.73855370049932,900000,true,136.50580910047574,800000,4609,354.40121750000253,5425,5276,5.390581499985274,1,1.0,0,0.0,1,1.0003671114408546,225.3735013599026,-4.6711444543355185,5.590512912198733,5.590512912198733,1.0,8,224.61357714313826,219.73242595418134,frenet,25.415942499996163,1059676160,10.053430000003573,0.776551945175351,136.50580910047574,800000,5276,157.33866402902112,4,bfbe7000e586f49911e8a8d0741fe610f56f8ba8a70ca8bf2d01250c4d59a78b,a2c-medium-frenet-seed-4,9285,334.90343650014984,2000000,5971.870640984316
small,1316,a2c,false,306.26811760015335,6530.225919927744,1,1,25.12,137.59002519992282,800000,true,119.47151369989297,700000,4609,347.11777749999965,2251,2119,5.841588999997839,1,1.0,0,0.0,1,1.0002146201395077,226.8564351242876,-5.732050560909613,-2.714313148674705,2.714313148674705,1.0,8,228.12517120974073,224.36882907956706,frenet,24.56998669996392,1059676160,6.412389600001916,0.8015606303979266,119.47151369989297,700000,2119,159.7173233839449,0,530a94f6e757947f661ae123e470f164bfa8db875605d45c73d3d6e6d6372747,a2c-small-frenet-seed-0,5925,330.83810430011727,2000000,6045.252871433803
small,1316,a2c,false,301.29069160017207,6638.107501356533,1,1,24.36,154.39921729990056,950000,true,138.31933899981595,850000,4609,341.6206854000011,2896,2754,5.213372800008074,1,1.0,0,0.0,1,1.0001344992591328,230.34651237854317,-5.059226985828076,-5.004235875612807,5.004235875612807,1.0,8,232.7484401243563,230.34651237854317,frenet,24.131093200005125,1059676160,7.037219899997581,0.7683974708443413,138.31933899981595,850000,2754,151.99418397991738,1,837a9afc6e8b5bb4d9a84f0e3ef1d414d9dd214c460c9400da3cbad0b08cb905,a2c-small-frenet-seed-1,5925,325.4217848001772,2000000,6145.870047477261
small,1316,a2c,false,299.7465480003193,6672.303695713852,1,1,24.28,135.6526098988943,850000,true,120.54922899886878,750000,4609,339.01773310000135,2115,1969,5.2727215999912005,1,1.0,0,0.0,1,1.0001025748360723,230.6217231726015,-2.2330226577217616,2.8581781046970605,2.8581781046970605,1.0,8,228.89476922278317,227.2425383834738,frenet,23.91015229995537,1059676160,6.172730699996464,0.7810728066925511,120.54922899886878,750000,1969,147.46811493599353,2,01c5540ea7126d44064f2c48ceec5c7f2498a6da51af952451b34175b6bb3d48,a2c-small-frenet-seed-2,5925,323.6567003002747,2000000,6179.386980539833
small,1316,a2c,false,299.6262317995461,6674.982987931532,1,1,25.88,130.4721041002049,800000,true,114.46673100003682,700000,4609,339.72363810000024,2985,2843,5.278642600002058,1,1.0,0,0.0,1,1.0002265261055328,223.4806397935767,-8.199289030452434,-2.4756251234452975,2.6912661245931986,1.0,8,227.58057206360462,223.2649987924288,frenet,23.720794100037892,1059676160,7.226599500001612,0.7834930098120398,114.46673100003682,700000,2843,155.448808421881,3,efab375044a02933be141ce49a16ba2c41cb327defa93ff545e6d7c95656e297,a2c-small-frenet-seed-3,5925,323.34702589958397,2000000,6185.305074125234
small,1316,a2c,false,302.44050780028556,6612.87079084223,1,1,24.92,179.46908219876423,1100000,true,163.3552404988659,1000000,4609,342.3917032999998,3171,3033,5.246036200005619,1,1.0,0,0.0,1,1.000419832321585,227.89964910352285,-2.9610633386740233,-2.9610633386740233,2.9610633386740233,1.0,8,226.614030296478,223.9148912365104,frenet,23.868237200018484,1059676160,6.888774199996988,0.7380870618728667,163.3552404988659,1000000,3033,133.3465435121008,4,1f9f62fd67c2e03dadcbbc5749e6a468c440dce181e227254df230d5f424b712,a2c-small-frenet-seed-4,5925,326.30874500030404,2000000,6129.164573870481
tiny,140,a2c,false,283.44276719902336,7056.098201989651,1,1,25.64,289.56221319909673,1900000,true,274.7063762991311,1800000,4609,319.84674630000154,4912,4769,3.672448900004383,1,1.0,0,0.0,1,1.0000442998504768,224.55131623001108,-2.9640723163937537,-0.34466077377169313,0.9252585573530041,0.625,8,153.72036810508553,35.85616815660334,frenet,22.332963300086703,768696320,6.851132199997664,0.5339305414207517,274.7063762991311,1800000,4769,59.4627099172497,0,78612a4c5f8f5e356b1da0e1e65f0d49f8c7c5227af34dfa6ddec8079e67c22e,a2c-tiny-frenet-seed-0,4749,305.77573049911007,2000000,6540.741466745742
tiny,140,a2c,false,308.5057533995532,6482.861269072515,1,1,26.12,260.02094399949783,1550000,true,243.34191419964918,1450000,4609,347.716866499999,4503,4366,4.426851399992302,1,1.0,0,0.0,1,1.0003324389346038,222.4162926529329,-1.334921713010658,177.64842722126116,178.25264722034126,0.75,8,178.1556202325301,44.76786543167172,frenet,23.818908499975805,782708736,6.94451719999779,0.5773469871973652,243.34191419964918,1450000,4366,73.68825731574853,1,c5d142aeedd81c287e8b9cd206771d2b93e6a642588ba0db7a46798ddeb083c8,a2c-tiny-frenet-seed-1,4749,332.324661899529,2000000,6018.211193139363
tiny,140,a2c,true,297.33608800038564,6726.395081909485,0,1,,,,false,,,4609,333.9806632,,,3.7475607999876956,0,0.0,1,1.0,1,0.5634822813707469,36.594443977842005,-192.45453932395145,-0.01884680431724206,0.45885341107931055,0.0,8,36.5293383147214,36.154437371079936,frenet,23.10758909998185,787734528,5.960802800000238,0.49150809862529304,320.42969260036625,2000000,4406,38.22896730748245,2,982d03dbf5495856ac5a635963e738775633e02a94278b0ddf3508740fa92572,a2c-tiny-frenet-seed-2,4749,320.4436771003675,2000000,6241.3464297302135
tiny,140,a2c,true,304.39003259989477,6570.5173816545375,0,1,,,,false,,,4609,343.66934729999775,,,3.7576984999905108,0,0.0,1,1.0,1,0.5497221475642238,35.65576187238578,-188.9346617755843,-14.356788800834217,14.356788800834217,0.25,8,83.62778932351837,32.32639996585067,frenet,24.273419099932653,787734528,7.321668600005069,0.4825368133685776,328.6498054998301,2000000,5313,41.21944600776296,3,4752208ed0db580c4b8c97a576ac48019756f72cdcd97cff0a9df527bd303a53,a2c-tiny-frenet-seed-3,4749,328.6634516998274,2000000,6085.25222277111
tiny,140,a2c,false,304.6657847001188,6564.570425814606,1,1,25.52,329.0484429001299,2000000,true,313.2428012002092,1900000,4609,343.6831691999978,4834,4695,4.029044100007013,1,1.0,0,0.0,1,1.0003371996287036,225.19468547193028,-2.9241493265560337,-2.9241493265560337,2.9241493265560337,0.625,8,157.5067612732934,35.53006377481682,frenet,24.396172600012505,787734528,6.636004399999365,0.5232789950770185,313.2428012002092,1900000,4695,54.619161152952756,4,9e42cd038bb0428a07f6e882d8286bcb51004b8b355cdad9c8da4c0cfeec39b7,a2c-tiny-frenet-seed-4,4749,329.0619573001313,2000000,6077.882768368259
large,67844,ppo,false,288.5148912992845,6932.0512053755465,1,1,25.76,38.75646059997962,150000,true,12.736222999901656,50000,4609,520.1813409000024,336,162,6.641693300003681,1,1.0,0,0.0,1,1.0003619952695886,224.00534352998176,-10.031958022176752,0.06751458199590843,0.9936217139368466,1.0,8,219.9439080929194,215.57152128485973,frenet,215.47513600007005,1059676160,5.642559599997185,1.0002365012581118,12.736222999901656,50000,162,224.57982520733117,0,19c65cb305ec820fb7609f284e6365709bf0ace944cc655428903eb3096063b0,ppo-large-frenet-seed-0,72453,503.99002729935455,2000000,3968.3324900634625
large,67844,ppo,false,297.28143000128694,6727.631793184465,1,1,27.28,53.71364740011268,200000,true,24.860630400005903,100000,4609,533.1981142000004,484,302,6.6853670999880705,1,1.0,0,0.0,1,1.0001529835132277,217.2164478191782,-17.75236566421441,5.382388939361192,5.382388939361192,1.0,8,214.91127295906693,204.75335872748713,frenet,219.51120590005303,1059676160,5.725453299997753,0.9945160012631825,24.860630400005903,100000,302,222.80794495866303,1,4f31e73a744b7def05eaf4196b13f59ee601c3b2379cd8a5d02cbf9d296ee3cb,ppo-large-frenet-seed-1,72453,516.79263590134,2000000,3870.024185835761
large,67844,ppo,false,315.2919775993869,6343.326637194746,1,1,24.84,51.21443440008807,200000,true,25.042758600000525,100000,4609,563.4633295999993,419,282,7.477972199983924,1,1.0,0,0.0,1,1.0003288614089578,228.20775404248462,-3.683927186680762,-2.250771876863098,3.1191352833429846,1.0,8,226.21127589675183,221.51272288809002,frenet,230.69613400001617,1059676160,5.768939800007502,0.966430459540661,25.042758600000525,100000,282,201.96500397746,2,bfaf95588b759d5f7521f018e488ab888dfce3c22ede4277aa3f21993ff0ec68,ppo-large-frenet-seed-2,72453,545.988111599403,2000000,3663.083421617466
large,67844,ppo,false,308.03183429962155,6492.835406273647,1,1,26.400000000000002,59.53777430005357,200000,true,31.21822370027803,100000,4609,548.9532082999976,459,278,7.56398619999527,1,1.0,0,0.0,1,1.0004169213214833,221.23963066952132,-10.326820980445405,5.688274574891295,9.691520647002847,1.0,8,221.05180826881474,215.55135609463002,frenet,223.51559510000516,1059676160,5.718275499999436,0.9961545124908653,31.21822370027803,100000,278,214.6488687640092,3,3d48797dee6806cd285594634cc6a28c22affcedfa3049f0e7c1f7b6e3cc157a,ppo-large-frenet-seed-3,72453,531.5474293996267,2000000,3762.599326759917
large,67844,ppo,false,296.6166198991996,6742.710508533433,1,1,27.96,38.680550699977175,150000,true,13.01139180003156,50000,4609,529.4982484000029,373,203,7.0220964000000095,1,1.0,0,0.0,1,1.000249550582794,214.20491603050908,-14.735122098509834,188.01618911746738,188.01618911746738,0.875,8,193.41448197139312,26.18872691304171,frenet,216.34823999994114,1059676160,5.525171200006298,0.9789492045106705,13.01139180003156,50000,203,201.14915310748322,4,9ecfa50ba9cce1c84c4cd852a9c60c237a41d65ff542dfb528d8f24686b70d8d,ppo-large-frenet-seed-4,72453,512.9648598991407,2000000,3898.9025493739287
medium,4676,ppo,false,302.8855574012123,6603.154066374758,1,1,23.64,48.15371629981382,200000,true,24.019346699849848,100000,4609,494.7788839999994,462,295,6.455167999993137,1,1.0,0,0.0,1,1.0002112268217693,233.50449853055267,-2.4892223286246917,0.8360104967492248,3.3252328253739165,0.875,8,206.58750524169398,27.760104922942176,frenet,175.58497309998347,1059676160,5.707438399997045,0.9261352258061097,24.019346699849848,100000,295,188.87129509214492,0,e34ff7f871eba2fae32580a29108bef3d55ff366474f64cfa7acade52deda354,ppo-medium-frenet-seed-0,9285,478.47053050119575,2000000,4179.985751484023
medium,4676,ppo,false,296.34925000105795,6748.793863972526,1,1,27.6,47.80881390001741,200000,true,24.022829599984107,100000,4609,485.40856019999774,518,373,6.9882785999907355,1,1.0,0,0.0,1,1.0000690389730043,215.80863721577492,-4.0716607862499075,1.1245388313272997,2.030302432435775,1.0,8,213.6914777323812,211.50703868172428,frenet,172.58869499999128,1059676160,5.431916999994428,0.9532774091091701,24.022829599984107,100000,373,197.2400814794834,1,ba05ceca1d3b77d0c1c1c56e8c2d094b4b4a63687b7fae5bf03e40193f064426,ppo-medium-frenet-seed-1,9285,468.93794500104923,2000000,4264.956635137566
medium,4676,ppo,false,287.56934509991333,6954.844228285592,1,1,27.2,46.48857619968112,200000,true,23.30718759983938,100000,4609,475.5735846000025,366,211,6.787178700000368,1,1.0,0,0.0,1,1.0000644069214504,217.56833801346193,-8.96567219961696,-3.337535413236992,3.337535413236992,1.0,8,219.1678580427588,216.49813698068493,frenet,171.7163981000449,1059676160,5.533898700003192,0.9765908167678166,23.30718759983938,100000,211,197.8237369334401,2,75cc5af0a06a05f20a2f844fba201f906e5d2a5ddea9e58133860400f27a2444,ppo-medium-frenet-seed-2,9285,459.28574319995823,2000000,4354.587595220138
medium,4676,ppo,false,303.36852669936707,6592.641701365301,1,1,28.96,45.726529699586536,200000,true,23.003525099797116,100000,4609,502.41146650000155,515,340,7.218017199997121,1,1.0,0,0.0,1,1.0001433887307618,209.62046988646023,-25.32452722244119,-4.379400207185483,4.379400207185483,1.0,8,215.02610243262436,209.62046988646023,frenet,181.37788799998089,1059676160,6.288314900000842,0.9903327645749309,23.003525099797116,100000,340,218.51101240771416,3,54787958599a3761cc0cb309cbd4d031abb7c33e57f8c97ea287de87c4409ecf,ppo-medium-frenet-seed-3,9285,484.74641469934795,2000000,4125.868576543162
medium,4676,ppo,false,307.62905690141633,6501.336447684543,1,1,25.2,52.77095400000326,200000,true,26.52207130023089,100000,4609,511.0938954999983,661,460,7.3431646000208275,1,1.0,0,0.0,1,1.0000676683646237,226.5648663819739,-8.548421132634644,1.9284083037028665,1.9284083037028665,1.0,8,222.03425856535614,216.9062203576927,frenet,186.11481289999574,1059676160,5.7930104000042775,0.9902258340351265,26.52207130023089,100000,460,221.6461073753708,4,4de564aac03461fe3669f249357cda2289db12b76262f4c0077346b261fc34eb,ppo-medium-frenet-seed-4,9285,493.7438698014121,2000000,4050.683203022686
small,1316,ppo,false,276.34529199870667,7237.322501623658,1,1,26.32,44.591523499489995,200000,true,22.323599199738965,100000,4609,462.0176451999978,503,345,6.8251277999988815,1,1.0,0,0.0,1,1.0003830494337622,221.59671785267724,-5.320151606664325,-2.0906796650950525,4.185796649061075,1.0,8,224.2340532904219,221.59671785267724,frenet,168.8577102999734,1059676160,6.123482500002865,0.9945465871663005,22.323599199738965,100000,345,217.09413862834353,0,199c0af2a7710f13f08378d9708646f4068fddd3f2eaecd85ce60cdf220012ae,ppo-small-frenet-seed-0,5925,445.2030022986801,2000000,4492.33268795036
small,1316,ppo,false,276.73211989956326,7227.205865101157,0,1,,44.54557040005602,200000,true,22.34258240015697,100000,4609,461.6946762999978,473,314,6.705209700019623,0,0.0,1,1.0,1,0.9200022710281784,64.72601541852977,-169.5710812731486,-165.59201403449532,169.5710812731486,0.625,8,167.4288797232056,63.12511971218052,frenet,168.68190069997945,1059676160,5.686326699993515,0.9886065340120174,22.34258240015697,100000,314,203.4368388313346,1,0c9544245da5752f6996c41565a8908e40e3e5d96368f03ad1986e2917935d9e,ppo-small-frenet-seed-1,5925,445.4140205995427,2000000,4490.204410961134
small,1316,ppo,false,282.42877330093324,7081.431458362643,1,1,29.36,34.19087660009245,150000,true,11.231673899994348,50000,4609,471.1853590999999,342,148,6.987210699993739,1,1.0,0,0.0,1,1.0002258456172761,207.83169676966205,-23.51961146682831,-1.6456495520370993,2.7361588122275577,1.0,8,208.76273353524363,207.05123571021164,frenet,172.2042421999431,1059676160,5.594643899996299,1.0002052748028603,11.231673899994348,50000,148,218.94534012964976,2,b6c2179cf95cb4a2e1f3a74d4fad4e2c9a3fb935b4c7136b17a51c02d6f217e1,ppo-small-frenet-seed-2,5925,454.63301550087635,2000000,4399.152573194819
small,1316,ppo,false,278.11812060009834,7191.189109449537,1,1,28.6,46.421997600180475,200000,true,23.898067100122717,100000,4609,464.8544191000001,384,241,7.329077000002144,1,1.0,0,0.0,1,1.0002918972138093,211.3301366123202,-9.661994992768172,0.7752728236355892,5.168768837180153,1.0,8,208.91331990347595,203.45640798429656,frenet,169.98949859998902,1059676160,5.489086199992016,0.9943425375270314,23.898067100122717,100000,241,208.29276937009323,3,5cf0a35034f2d1461fabe5694cd861d11452a0d1dc5b60057a6fb2457eff8521,ppo-small-frenet-seed-3,5925,448.10761920008736,2000000,4463.213554748703
small,1316,ppo,false,295.3269875995393,6772.154540485077,1,1,24.36,45.24036819989851,200000,true,22.78593529986756,100000,4609,485.9783521999998,616,454,6.486447500010399,1,1.0,0,0.0,1,1.0000346851509092,230.25019651247203,-1.091521461436173,1.8949056748340922,1.9473209594519574,1.0,8,229.8602525968937,227.16837908189797,frenet,173.80334530002074,1059676160,6.281100299998798,0.9901680829872699,22.78593529986756,100000,454,223.81200479590504,4,3ce0a3efd263ead80a77850c510ee871117be3960603a4120c15822d8f38472a,ppo-small-frenet-seed-4,5925,469.13033289956,2000000,4263.207598704125
