actor_name,algorithm,braking_fraction,circuit_identity,circuit_seed,circuit_split,curvature_bin,lower_curvature,mean_absolute_steering,mean_speed,mean_throttle,observation_type,outcome,root_identity,run_id,sample_count,training_interactions,upper_curvature
large,a2c,0.2818181818181818,0,0,development,curve_1,0.0,0.4197824084977831,19.23235969584339,0.18172127274817534,frenet,completed,3,a2c-large-frenet-seed-3,220,2000000,0.05485719880639534
large,a2c,0.5786163522012578,0,0,development,curve_2,0.05485719880639534,0.5943157674022438,18.85950098629301,-0.01088101542759804,frenet,completed,3,a2c-large-frenet-seed-3,159,2000000,0.08331733356806285
large,a2c,0.3821138211382114,0,0,development,straight,0.0,0.5885178987883274,14.945165632106654,0.249123721634641,frenet,completed,4,a2c-large-frenet-seed-4,369,2000000,1e-08
large,a2c,0.35294117647058826,0,0,development,curve_1,0.0,0.6022466710299554,15.755362004354451,0.18914172319722744,frenet,completed,4,a2c-large-frenet-seed-4,272,2000000,0.05485719880639534
large,a2c,0.3888888888888889,0,0,development,curve_2,0.05485719880639534,0.6262105267984096,14.483182195626764,0.1433834322831697,frenet,completed,4,a2c-large-frenet-seed-4,198,2000000,0.08331733356806285
medium,a2c,0.21481481481481482,0,0,development,straight,0.0,0.24571018908172845,20.37624927062335,0.3119773753655695,frenet,completed,0,a2c-medium-frenet-seed-0,270,2000000,1e-08
medium,a2c,0.28421052631578947,0,0,development,curve_1,0.0,0.3785382488154267,22.326499264709184,0.20381140583807505,frenet,completed,0,a2c-medium-frenet-seed-0,190,2000000,0.05485719880639534
medium,a2c,0.2198581560283688,0,0,development,curve_2,0.05485719880639534,0.6299329565454882,21.030990848129466,0.15563803410231045,frenet,completed,0,a2c-medium-frenet-seed-0,141,2000000,0.08331733356806285
medium,a2c,0.10921501706484642,0,0,development,straight,0.0,0.5477730973620515,19.05368901091385,0.42217807383129513,frenet,completed,1,a2c-medium-frenet-seed-1,293,2000000,1e-08
medium,a2c,0.2222222222222222,0,0,development,curve_1,0.0,0.5568700813919992,20.750686761175015,0.2540084027227795,frenet,completed,1,a2c-medium-frenet-seed-1,198,2000000,0.05485719880639534
medium,a2c,0.697841726618705,0,0,development,curve_2,0.05485719880639534,0.9104591190694369,20.46307878643197,-0.13037957180385218,frenet,completed,1,a2c-medium-frenet-seed-1,139,2000000,0.08331733356806285
medium,a2c,0.2597864768683274,0,0,development,straight,0.0,0.2549563182001682,19.683309864182267,0.30686973406600987,frenet,completed,2,a2c-medium-frenet-seed-2,281,2000000,1e-08
medium,a2c,0.37435897435897436,0,0,development,curve_1,0.0,0.35045484819282324,21.303285901344356,0.1861039943754291,frenet,completed,2,a2c-medium-frenet-seed-2,195,2000000,0.05485719880639534
medium,a2c,0.2808219178082192,0,0,development,curve_2,0.05485719880639534,0.5466952823060214,19.488742111438707,0.19952437577750023,frenet,completed,2,a2c-medium-frenet-seed-2,146,2000000,0.08331733356806285
medium,a2c,0.12589928057553956,0,0,development,straight,0.0,0.1051140851540099,19.700928360395295,0.3439932327550876,frenet,completed,3,a2c-medium-frenet-seed-3,278,2000000,1e-08
medium,a2c,0.2613065326633166,0,0,development,curve_1,0.0,0.28019659325287993,21.702527374116983,0.2105180421954105,frenet,completed,3,a2c-medium-frenet-seed-3,199,2000000,0.05485719880639534
medium,a2c,0.6275862068965518,0,0,development,curve_2,0.05485719880639534,0.5997286813526318,20.668341631406282,-0.0018443353586541167,frenet,completed,3,a2c-medium-frenet-seed-3,145,2000000,0.08331733356806285
medium,a2c,0.2785714285714286,0,0,development,straight,0.0,0.14577081260358682,19.678600663244143,0.29913608414436954,frenet,completed,4,a2c-medium-frenet-seed-4,280,2000000,1e-08
medium,a2c,0.39408866995073893,0,0,development,curve_1,0.0,0.3192170280504403,20.524021903675564,0.2331460800218015,frenet,completed,4,a2c-medium-frenet-seed-4,203,2000000,0.05485719880639534
medium,a2c,0.22727272727272727,0,0,development,curve_2,0.05485719880639534,0.6060028553202554,17.94585076331112,0.3330603287700419,frenet,completed,4,a2c-medium-frenet-seed-4,154,2000000,0.08331733356806285
small,a2c,0.099644128113879,0,0,development,straight,0.0,0.3033617742424267,19.553378842115016,0.4599083705260037,frenet,completed,0,a2c-small-frenet-seed-0,281,2000000,1e-08
small,a2c,0.20707070707070707,0,0,development,curve_1,0.0,0.3302707027766214,21.559315848449028,0.31260360358135936,frenet,completed,0,a2c-small-frenet-seed-0,198,2000000,0.05485719880639534
small,a2c,0.6510067114093959,0,0,development,curve_2,0.05485719880639534,0.5835388310678653,20.27494447246693,-0.11865849306044363,frenet,completed,0,a2c-small-frenet-seed-0,149,2000000,0.08331733356806285
small,a2c,0.19047619047619047,0,0,development,straight,0.0,0.19975153775800414,20.272198064406115,0.339584113881606,frenet,completed,1,a2c-small-frenet-seed-1,273,2000000,1e-08
small,a2c,0.2712765957446808,0,0,development,curve_1,0.0,0.45285376131118454,22.17044124110053,0.2048750483589445,frenet,completed,1,a2c-small-frenet-seed-1,188,2000000,0.05485719880639534
small,a2c,0.22297297297297297,0,0,development,curve_2,0.05485719880639534,0.846372139111564,20.624283840758594,0.12188317914763969,frenet,completed,1,a2c-small-frenet-seed-1,148,2000000,0.08331733356806285
small,a2c,0.15636363636363637,0,0,development,straight,0.0,0.15565680161965165,19.98244253295443,0.3177129385552623,frenet,completed,2,a2c-small-frenet-seed-2,275,2000000,1e-08
