actor_name,algorithm,completion_rate,crash_rate,evaluation_count,lap_target_rate,mean_progress,mean_return,median_progress,observation_type,root_identity,run_checksum,run_id,training_duration,training_interactions
large,a2c,1.0,0.0,1,1.0,1.0002524067529925,188.98514627817042,1.0002524067529925,frenet,4,633a79d137b747782a49079ffbbe14fdced34614b968e67ad42092b81ff0f715,a2c-large-frenet-seed-4,331.89158979932836,2000000
large,a2c,0.0,1.0,1,0.0,0.1013132902850454,1.1748247727997825,0.1013132902850454,frenet,4,633a79d137b747782a49079ffbbe14fdced34614b968e67ad42092b81ff0f715,a2c-large-frenet-seed-4,42.97309839984155,250000
large,a2c,0.0,1.0,1,0.0,0.507932661802961,30.308595101383695,0.507932661802961,frenet,4,633a79d137b747782a49079ffbbe14fdced34614b968e67ad42092b81ff0f715,a2c-large-frenet-seed-4,84.58130929988693,500000
large,a2c,1.0,0.0,1,1.0,1.0000117315438657,195.43722628753073,1.0000117315438657,frenet,4,633a79d137b747782a49079ffbbe14fdced34614b968e67ad42092b81ff0f715,a2c-large-frenet-seed-4,125.67328649952469,750000
medium,a2c,1.0,0.0,1,1.0,1.0000444526641215,223.6862556607354,1.0000444526641215,frenet,0,e8642391a18bd3d9d8a6bbe63285f0153e8bb29f2495b8a1b6b6d672d1d34c1b,a2c-medium-frenet-seed-0,170.53672240024753,1000000
medium,a2c,1.0,0.0,1,1.0,1.0000275085512553,231.7760769546337,1.0000275085512553,frenet,0,e8642391a18bd3d9d8a6bbe63285f0153e8bb29f2495b8a1b6b6d672d1d34c1b,a2c-medium-frenet-seed-0,337.8642643994135,2000000
medium,a2c,0.0,1.0,1,0.0,0.1981308411214946,8.298226147398541,0.1981308411214946,frenet,0,e8642391a18bd3d9d8a6bbe63285f0153e8bb29f2495b8a1b6b6d672d1d34c1b,a2c-medium-frenet-seed-0,43.33710670045912,250000
medium,a2c,0.0,1.0,1,0.0,0.5710986030907075,37.29128670506542,0.5710986030907075,frenet,0,e8642391a18bd3d9d8a6bbe63285f0153e8bb29f2495b8a1b6b6d672d1d34c1b,a2c-medium-frenet-seed-0,86.3710617005272,500000
medium,a2c,0.0,1.0,1,0.0,0.552284013293109,35.649674680589,0.552284013293109,frenet,0,e8642391a18bd3d9d8a6bbe63285f0153e8bb29f2495b8a1b6b6d672d1d34c1b,a2c-medium-frenet-seed-0,127.75315940016662,750000
medium,a2c,0.0,1.0,1,0.0,0.5454194043565831,34.49027518190327,0.5454194043565831,frenet,1,b3dac8abf7a4757cdfba91623bf232e5701db7f4015080547b63eca5687c361d,a2c-medium-frenet-seed-1,163.150671398962,1000000
