actor_name,algorithm,contrast,end_to_end_duration,final_completion_rate,final_crash_rate,final_mean_progress,final_mean_return,late_completion_rate,late_mean_return,progress_auc,restricted_convergence_duration,restricted_convergence_interactions,return_auc,root_identity,training_duration
,ppo,tiny_minus_medium,-7.247186300002795,0.0,0.0,4.778804116223334e-05,-1.7560220075680206,0.0,-2.8046308341642145,0.009681780819781327,21.66720389990951,100000.0,6.828855770075165,2,-6.8345328004070325
,ppo,tiny_minus_medium,7.926534300004278,0.0,0.0,0.00012748437662479795,3.211560686234634,0.0,4.6124241485956645,0.030804611549629213,-0.9036924997344613,0.0,2.260454594501823,1,6.928844800386287
,ppo,tiny_minus_small,-14.518427599999995,0.0,0.0,0.0001455530445266806,-11.081089370527593,0.0,-10.710309511061382,-0.023707640507041217,0.155811600456218,0.0,-9.579641535694748,4,-13.469646698777069
,ppo,tiny_minus_small,-2.8589608000002045,0.0,0.0,-0.00011365065466351076,7.98061923623186,0.0,7.600493673350968,-0.013932677215262368,33.74271759975454,150000.0,-14.292747426134497,2,-2.1818051013251534
,ppo,tiny_minus_small,16.29296080000131,0.0,0.0,-8.749196600033038e-05,-2.2729990860837574,0.0,2.3860410472662466,-0.011020808812007732,11.502781400035019,50000.0,1.0027592865399413,3,16.4902508998166
,ppo,tiny_minus_small,20.3289145000017,0.0,0.0,-0.0002663985265698443,-6.141573495130331,0.0,-8.674529073020835,-0.00024933331294829664,0.7010263005067827,0.0,-4.251439153740648,0,20.855982402437803
,ppo,tiny_minus_small,31.640418200004206,1.0,-1.0,0.08019425232145061,154.2941824834798,0.375,50.87502215777127,-0.004524513353218018,0.7765547000926745,0.0,-3.936302757349381,1,30.452769201892806
,reinforce,medium_minus_large,-260.20346110000173,1.0,-1.0,0.988144258227304,204.24126761096596,1.0,205.71561035956867,0.8401003916572258,-385.23720279906775,-1250000.0,154.27150174029916,2,-198.01215859948206
,reinforce,medium_minus_large,-27.675347299998975,0.0,0.0,-0.00030879966142616233,11.702570126734116,0.0,0.7207717851693474,-0.01867374949572531,-12.407782599966595,-100000.0,0.2617438263752945,0,-27.319485100721067
,reinforce,medium_minus_large,-28.62861210000119,0.0,0.0,-0.00018383728888315964,9.423851124138935,0.0,6.223767087388353,0.00962810005687098,-6.954958700494899,0.0,9.830812918940381,3,-27.128944100224544
,reinforce,medium_minus_large,-37.39128299999902,0.0,0.0,-1.5658159493003865e-05,20.079022367318487,0.0,20.639594952063163,-0.037686756308942804,12.297387199923833,100000.0,-5.653535304438293,4,-34.24611800014645
,reinforce,medium_minus_large,-53.626078000001144,0.0,0.0,-0.00010868638392991237,-14.148266865509356,0.125,20.797192525869235,-0.031063457405517747,42.201256499802184,250000.0,-11.867145331646412,1,-51.36767720034004
