actor_name,algorithm,completion_rate,crash_rate,evaluation_count,lap_target_rate,mean_progress,mean_return,median_progress,observation_type,root_identity,run_checksum,run_id,training_duration,training_interactions
large,a2c,1.0,0.0,1,1.0,1.0000080983721427,209.223966456987,1.0000080983721427,frenet,0,79483ebc146b1df6037bfdefe2a5ebef8b6b50e1c6aa7cafe647a1f5e5a53fe5,a2c-large-frenet-seed-0,349.4498579002284,1950000
large,a2c,0.0,1.0,1,0.0,0.18598130841121505,6.840359031983242,0.18598130841121505,frenet,0,79483ebc146b1df6037bfdefe2a5ebef8b6b50e1c6aa7cafe647a1f5e5a53fe5,a2c-large-frenet-seed-0,37.01935750003395,200000
large,a2c,1.0,0.0,1,1.0,1.0003294610051874,205.75974630355176,1.0003294610051874,frenet,0,79483ebc146b1df6037bfdefe2a5ebef8b6b50e1c6aa7cafe647a1f5e5a53fe5,a2c-large-frenet-seed-0,358.20759760034707,2000000
large,a2c,0.0,1.0,1,0.0,0.2022154972421422,9.077768427554242,0.2022154972421422,frenet,0,79483ebc146b1df6037bfdefe2a5ebef8b6b50e1c6aa7cafe647a1f5e5a53fe5,a2c-large-frenet-seed-0,46.74843739983771,250000
large,a2c,0.0,1.0,1,0.0,0.6739688263031457,43.60854610163106,0.6739688263031457,frenet,0,79483ebc146b1df6037bfdefe2a5ebef8b6b50e1c6aa7cafe647a1f5e5a53fe5,a2c-large-frenet-seed-0,55.93693289980729,300000
large,a2c,0.0,1.0,1,0.0,0.963989038601942,62.21378291160718,0.963989038601942,frenet,0,79483ebc146b1df6037bfdefe2a5ebef8b6b50e1c6aa7cafe647a1f5e5a53fe5,a2c-large-frenet-seed-0,64.93167119984719,350000
large,a2c,1.0,0.0,1,1.0,1.0000433924388878,201.77439145211088,1.0000433924388878,frenet,0,79483ebc146b1df6037bfdefe2a5ebef8b6b50e1c6aa7cafe647a1f5e5a53fe5,a2c-large-frenet-seed-0,73.78543909974906,400000
large,a2c,1.0,0.0,1,1.0,1.0000402723476902,203.91064173928334,1.0000402723476902,frenet,0,79483ebc146b1df6037bfdefe2a5ebef8b6b50e1c6aa7cafe647a1f5e5a53fe5,a2c-large-frenet-seed-0,82.65747779978483,450000
large,a2c,0.0,1.0,1,0.0,0.047388514027436504,-5.043744967209268,0.047388514027436504,frenet,0,79483ebc146b1df6037bfdefe2a5ebef8b6b50e1c6aa7cafe647a1f5e5a53fe5,a2c-large-frenet-seed-0,9.26331740000387,50000
large,a2c,1.0,0.0,1,1.0,1.0002651067781825,200.976939160067,1.0002651067781825,frenet,0,79483ebc146b1df6037bfdefe2a5ebef8b6b50e1c6aa7cafe647a1f5e5a53fe5,a2c-large-frenet-seed-0,91.50129209997976,500000
