actor_name,algorithm,braking_fraction,circuit_identity,circuit_seed,circuit_split,coverage,mean_absolute_steering,mean_speed,mean_steering_change,mean_throttle,near_saturated_steering_fraction,near_zero_throttle_fraction,observation_type,outcome,positive_throttle_fraction,root_identity,run_id,sample_count,simulated_time,speed_median,speed_q10,speed_q90,speed_standard_deviation,steering_reversals,steering_reversals_per_time,throttle_median,throttle_q10,throttle_q90,throttle_standard_deviation,training_interactions
medium,ppo,0.3411764705882353,0,0,development,1.0,0.7062448296514476,18.45565887369263,0.9721090188143646,0.29835229317233075,0.4176470588235294,0.03676470588235294,frenet,completed,0.6588235294117647,2,ppo-medium-frenet-seed-2,680,27.2,19.134602814509037,13.703689208441864,22.542844104090634,4.221080914072609,385,14.154411764705882,0.31711171567440033,-0.4877600699663162,0.9971679270267486,0.5585879014695457,2000000
medium,ppo,0.3867403314917127,0,0,development,1.0,0.3999957662707359,18.0879803051336,0.5943230616590871,0.25551892060931847,0.0027624309392265192,0.03729281767955801,frenet,completed,0.6132596685082873,3,ppo-medium-frenet-seed-3,724,28.96,18.48651973190372,14.628588624757738,21.98150532975304,3.746525535375663,386,13.328729281767956,0.2505827397108078,-0.3292784810066223,0.9905156016349792,0.4773807791377489,2000000
medium,ppo,0.28888888888888886,0,0,development,1.0,0.3428302237560736,19.76537490162003,0.35993628691443624,0.25937732411456105,0.0015873015873015873,0.05555555555555555,frenet,completed,0.7111111111111111,4,ppo-medium-frenet-seed-4,630,25.2,20.800105429356996,16.703198994283717,23.666591168471665,4.094341425547772,271,10.753968253968255,0.24722333997488022,-0.27856069207191464,0.8793309092521667,0.4185962153911902,2000000
small,ppo,0.33282674772036475,0,0,development,1.0,0.38694479662357434,19.370317594571954,0.36900748966100144,0.3193463009117259,0.08662613981762918,0.03343465045592705,frenet,completed,0.6671732522796353,0,ppo-small-frenet-seed-0,658,26.32,20.58574538288751,13.169428561506244,24.14717011634505,4.651729478508307,298,11.322188449848024,0.43342916667461395,-0.4709353506565094,0.9964075565338135,0.5749830628306627,2000000
small,ppo,0.3435804701627486,0,0,development,0.9200022710281784,0.31489977621064763,20.566553832298965,0.29566051783130853,0.2475364560385152,0.03074141048824593,0.0867992766726944,frenet,crashed,0.6564195298372514,1,ppo-small-frenet-seed-1,553,22.12,21.60667005249102,16.346870282134955,24.37370126442456,4.551284832300789,228,10.30741410488246,0.18758918344974518,-0.2044290065765381,0.967225468158722,0.4065684099280954,2000000
small,ppo,0.35149863760217986,0,0,development,1.0,0.6111780820523544,17.87173409966116,1.1784919537807146,0.3498172876488529,0.18528610354223432,0.01907356948228883,frenet,completed,0.6485013623978202,2,ppo-small-frenet-seed-2,734,29.36,18.65724782606705,14.748527902585,20.813384742702556,3.4389078951294607,602,20.504087193460492,0.7096641063690186,-0.7055270493030548,0.9952195286750793,0.6902963006791727,2000000
small,ppo,0.3048951048951049,0,0,development,1.0,0.677597196808759,18.419882522379435,1.1958855394218886,0.2286705609601499,0.34405594405594403,0.08671328671328671,frenet,completed,0.6951048951048951,3,ppo-small-frenet-seed-3,715,28.6,19.189652486122696,15.335754726877418,21.92107525570512,3.6438544750552193,543,18.986013986013987,0.22254838049411774,-0.31005293130874634,0.7448588252067567,0.3868116083707834,2000000
small,ppo,0.3185550082101806,0,0,development,1.0,0.42451350562647594,20.649200371654132,0.17035109036001622,0.25085523138632304,0.180623973727422,0.15599343185550082,frenet,completed,0.6814449917898193,4,ppo-small-frenet-seed-4,609,24.36,21.65406293787057,18.69226307069026,23.656953442228247,4.089979633637664,127,5.213464696223317,0.17424124479293823,-0.23706054389476774,0.9351472854614264,0.38942119580385914,2000000
tiny,ppo,0.16618497109826588,0,0,development,1.0,0.5072809427168599,18.45571214280863,0.7704984930782969,0.155906155248791,0.04190751445086705,0.3222543352601156,frenet,completed,0.8338150289017341,0,ppo-tiny-frenet-seed-0,692,27.68,19.229392458111207,18.255980192471004,19.91237094069154,3.057246862845914,443,16.004335260115607,0.08746476471424103,-0.03065666202455759,0.32369339466094965,0.26028396380816915,2000000
tiny,ppo,0.34523809523809523,0,0,development,1.0,0.4425198286352541,18.559868201598857,0.5794919539199956,0.2921306508247826,0.03125,0.07589285714285714,frenet,completed,0.6547619047619048,1,ppo-tiny-frenet-seed-1,672,26.88,19.09184353921472,14.854767152500667,22.90770504770754,4.158656847041352,376,13.988095238095239,0.32785819470882416,-0.465144556760788,0.9858374655246734,0.548897999622429,2000000
