absolute_steering_maximum,absolute_steering_mean,absolute_steering_minimum,absolute_steering_q25,absolute_steering_q50,absolute_steering_q75,absolute_steering_q90,absolute_steering_standard_deviation,actor_name,algorithm,braking_fraction,circuit_identity,circuit_length,circuit_seed,circuit_split,curvature_q25,curvature_q50,curvature_q75,curvature_q90,evaluation_index,final_progress,interactions,lap_time,maximum_progress,near_saturated_steering_fraction,observation_type,outcome,positive_throttle_fraction,return,root_identity,run_checksum,run_id,simulated_time,speed_maximum,speed_mean,speed_minimum,speed_q25,speed_q50,speed_q75,speed_q90,speed_standard_deviation,throttle_maximum,throttle_mean,throttle_minimum,throttle_q25,throttle_q50,throttle_q75,throttle_q90,throttle_standard_deviation,training_duration,training_interactions
0.6368722319602966,0.2887484544469405,0.006118938326835632,0.20087173581123352,0.31584790349006653,0.38980066776275635,0.41510088443756105,0.13344887472577976,large,a2c,0.0,0,535.0,0,development,0.0,0.0,0.05485719880639534,0.07281977084620031,1,0.04697901271899331,129,,0.04697901271899331,0.0,frenet,crashed,1.0,-5.4555676379097555,0,79483ebc146b1df6037bfdefe2a5ebef8b6b50e1c6aa7cafe647a1f5e5a53fe5,a2c-large-frenet-seed-0,5.16,9.156669824131301,5.3011785406870215,0.0,3.055848441085753,5.499155356361596,7.786144683062102,8.783067690793402,2.701184062691353,0.5150824189186096,0.19926134416068247,0.06246887147426605,0.1767091304063797,0.2089664340019226,0.213912695646286,0.25044969320297245,0.05822052294821688,18.529292099883605,100000
0.999467670917511,0.43980331327005256,0.00011477246880531311,0.1270214021205902,0.36515703797340393,0.7948577702045441,0.9930752754211426,0.34746444001329924,large,a2c,0.30014224751066854,0,535.0,0,development,0.0,0.0,0.05485719880639534,0.07281977084620031,19,1.0001863789518664,703,28.12,1.0001863789518664,0.22190611664295876,frenet,completed,0.6998577524893315,213.337037404432,0,79483ebc146b1df6037bfdefe2a5ebef8b6b50e1c6aa7cafe647a1f5e5a53fe5,a2c-large-frenet-seed-0,28.12,27.587509431994736,18.110281765808733,0.0,16.203561487696753,18.764544297180418,20.402436077516,22.041750624189724,4.056648917997609,0.9986807107925415,0.30584230400346335,-0.9626078605651855,-0.1729891151189804,0.35351887345314026,0.842859297990799,0.9658171653747558,0.5555889672021703,180.14195160018426,1000000
0.9991748929023743,0.503603025626691,0.001593428198248148,0.2771265506744385,0.49805450439453125,0.7165200710296631,0.9218186974525454,0.27901876341685866,large,a2c,0.3219645293315143,0,535.0,0,development,0.0,0.0,0.05485719880639534,0.07281977084620031,20,1.0003260051140437,733,29.32,1.0003260051140437,0.1077762619372442,frenet,completed,0.6780354706684857,208.09635734090432,0,79483ebc146b1df6037bfdefe2a5ebef8b6b50e1c6aa7cafe647a1f5e5a53fe5,a2c-large-frenet-seed-0,29.32,24.950351291872636,17.082233630339427,0.0,14.535629849702488,17.826435970534035,20.02318224000189,21.41082561738547,4.138073536173594,0.9973061084747314,0.2718111859770469,-0.836852490901947,-0.13997043669223785,0.3152312636375427,0.7377728819847107,0.9074028968811035,0.5215367506464432,189.00712450009814,1050000
0.997200071811676,0.3098818275190371,3.090128302574158e-05,0.04582980088889599,0.16824674606323242,0.4925801157951355,0.8665515065193179,0.3202177455082785,large,a2c,0.27456258411843876,0,535.0,0,development,0.0,0.0,0.05485719880639534,0.07281977084620031,21,1.0003272767685303,743,29.72,1.0003272767685303,0.07537012113055182,frenet,completed,0.7254374158815612,206.2940460022902,0,79483ebc146b1df6037bfdefe2a5ebef8b6b50e1c6aa7cafe647a1f5e5a53fe5,a2c-large-frenet-seed-0,29.72,26.033184313312017,16.89805869405831,0.0,13.85492255901434,17.345227606937986,20.403243009085696,22.091308264806933,4.547622892358558,0.9973537921905518,0.26068055536441287,-0.7735774517059326,-0.1157124973833561,0.311655193567276,0.6925981044769287,0.8843018889427187,0.483395730398504,197.91165600020759,1100000
0.9943108558654785,0.2697313487764494,2.210959792137146e-05,0.04333706200122833,0.1195373609662056,0.44325171411037445,0.8173705458641051,0.29777452924724723,large,a2c,0.27459016393442626,0,535.0,0,development,0.0,0.0,0.05485719880639534,0.07281977084620031,22,1.0002931491087572,732,29.28,1.0002931491087572,0.05874316939890711,frenet,completed,0.7254098360655737,208.234930437396,0,79483ebc146b1df6037bfdefe2a5ebef8b6b50e1c6aa7cafe647a1f5e5a53fe5,a2c-large-frenet-seed-0,29.28,23.965766665049077,16.965124316114807,0.0,14.664665578453992,17.643965708292292,19.749683246501785,20.976643281026362,3.9342177099456173,0.9990614056587219,0.23307285762008387,-0.75572669506073,-0.08443412557244301,0.19595731049776077,0.595043420791626,0.8386821210384368,0.4299228814311369,206.76638380022632,1150000
0.9733184576034546,0.236636359833735,0.001099586021155119,0.025563635863363743,0.10305427759885788,0.41415417194366455,0.675079381465912,0.2599989069092716,large,a2c,0.27848101265822783,0,535.0,0,development,0.0,0.0,0.05485719880639534,0.07281977084620031,23,1.000253401912644,790,31.6,1.000253401912644,0.020253164556962026,frenet,completed,0.7215189873417721,197.79437156026373,0,79483ebc146b1df6037bfdefe2a5ebef8b6b50e1c6aa7cafe647a1f5e5a53fe5,a2c-large-frenet-seed-0,31.6,23.666165820736943,15.775733776962548,0.0,12.983434021912956,16.459409923807996,18.87937511906633,20.348283348193085,4.107870663557098,0.9990546107292175,0.23129274735398167,-0.7892336249351501,-0.13177141919732094,0.21805933117866516,0.6061679422855377,0.8525909900665284,0.44619184761302855,215.52686840036404,1200000
0.9362968802452087,0.29842881365514695,0.00034301355481147766,0.11326087266206741,0.18023937940597534,0.46227312088012695,0.7203088402748108,0.2491792724107167,large,a2c,0.2859097127222982,0,535.0,0,development,0.0,0.0,0.05485719880639534,0.07281977084620031,24,1.00017704500192,731,29.240000000000002,1.00017704500192,0.015047879616963064,frenet,completed,0.7140902872777017,208.3641023108994,0,79483ebc146b1df6037bfdefe2a5ebef8b6b50e1c6aa7cafe647a1f5e5a53fe5,a2c-large-frenet-seed-0,29.240000000000002,24.88842481228684,17.230969881889138,0.0,14.63114023569548,18.006558917911853,20.248323465839775,21.57403531108605,4.142912034298979,0.9989345669746399,0.2556723979443169,-0.7862419486045837,-0.1649044305086136,0.21384429931640625,0.6887235641479492,0.9334859251976013,0.4807676080734727,224.35385210044842,1250000
0.8219032287597656,0.2500072486775152,0.0007347463397309184,0.04557230696082115,0.13908159732818604,0.41631537675857544,0.6545699834823608,0.23929939965697802,large,a2c,0.35384615384615387,0,535.0,0,development,0.0,0.0,0.05485719880639534,0.07281977084620031,25,1.0001541912195633,715,28.6,1.0001541912195633,0.0,frenet,completed,0.6461538461538462,211.31911279384371,0,79483ebc146b1df6037bfdefe2a5ebef8b6b50e1c6aa7cafe647a1f5e5a53fe5,a2c-large-frenet-seed-0,28.6,24.29796588237408,17.71860014881312,0.0,15.647566618613421,18.838294139993206,20.257994477892126,21.70507254872988,3.904511265447681,0.9984056949615479,0.24329272072706892,-0.5530178546905518,-0.13645359128713608,0.14075320959091187,0.7063864767551422,0.936581015586853,0.467151586904339,233.20814760054418,1300000
0.832385241985321,0.2567325871219904,0.0011029797606170177,0.08706828206777573,0.15315842628479004,0.402578741312027,0.6497582197189331,0.2267154351812767,large,a2c,0.3124108416547789,0,535.0,0,development,0.0,0.0,0.05485719880639534,0.07281977084620031,26,1.0000566091317096,701,28.04,1.0000566091317096,0.0,frenet,completed,0.6875891583452212,213.8286762423865,0,79483ebc146b1df6037bfdefe2a5ebef8b6b50e1c6aa7cafe647a1f5e5a53fe5,a2c-large-frenet-seed-0,28.04,23.854317011923506,17.924255447442963,0.0,16.053533479011392,19.053423118781158,20.195691575519746,21.531855720970402,3.7350013063234226,0.9964703321456909,0.22418945368066145,-0.3927605152130127,-0.11442621797323227,0.1382184773683548,0.5797529220581055,0.8955536484718323,0.40969015293127553,242.06676790045822,1350000
0.8699597716331482,0.26919981851017966,0.0009522956679575145,0.11937453784048557,0.1963668093085289,0.3842703327536583,0.6288386523723604,0.21265099310615931,large,a2c,0.32,0,535.0,0,development,0.0,0.0,0.05485719880639534,0.07281977084620031,27,1.000303147650838,700,28.0,1.000303147650838,0.0,frenet,completed,0.68,213.92468229052764,0,79483ebc146b1df6037bfdefe2a5ebef8b6b50e1c6aa7cafe647a1f5e5a53fe5,a2c-large-frenet-seed-0,28.0,22.890266312049725,17.84641905666114,0.0,16.332665670944767,19.004754616893457,19.843641796928434,21.016138480627713,3.4956434681334994,0.9947664737701416,0.20873663597440878,-0.3642466366291046,-0.09546772204339504,0.12356910482048988,0.4945812374353409,0.8422640383243561,0.3750946621479715,250.9141320006056,1400000
