run_id,algorithm,actor_name,root_identity,run_checksum,lap_limit,consecutive_evaluations,budget,censored,processed_first_interactions,first_interactions,first_training_duration,first_episodes,confirmation_interactions,confirmation_training_duration,confirmation_episodes
ppo-medium-frenet-seed-3,ppo,medium,3,54787958599a3761cc0cb309cbd4d031abb7c33e57f8c97ea287de87c4409ecf,34,3,2000000,False,100000,100000,23.003525099797116,340,200000,45.726529699586536,515
ppo-medium-frenet-seed-4,ppo,medium,4,4de564aac03461fe3669f249357cda2289db12b76262f4c0077346b261fc34eb,34,3,2000000,False,100000,100000,26.52207130023089,460,200000,52.77095400000326,661
ppo-small-frenet-seed-0,ppo,small,0,199c0af2a7710f13f08378d9708646f4068fddd3f2eaecd85ce60cdf220012ae,34,3,2000000,False,100000,100000,22.323599199738965,345,200000,44.591523499489995,503
ppo-small-frenet-seed-1,ppo,small,1,0c9544245da5752f6996c41565a8908e40e3e5d96368f03ad1986e2917935d9e,34,3,2000000,False,100000,100000,22.34258240015697,314,200000,44.54557040005602,473
ppo-small-frenet-seed-2,ppo,small,2,b6c2179cf95cb4a2e1f3a74d4fad4e2c9a3fb935b4c7136b17a51c02d6f217e1,34,3,2000000,False,50000,50000,11.231673899994348,148,150000,34.19087660009245,342
ppo-small-frenet-seed-3,ppo,small,3,5cf0a35034f2d1461fabe5694cd861d11452a0d1dc5b60057a6fb2457eff8521,34,3,2000000,False,100000,100000,23.898067100122717,241,200000,46.421997600180475,384
ppo-small-frenet-seed-4,ppo,small,4,3ce0a3efd263ead80a77850c510ee871117be3960603a4120c15822d8f38472a,34,3,2000000,False,100000,100000,22.78593529986756,454,200000,45.24036819989851,616
ppo-tiny-frenet-seed-0,ppo,tiny,0,00704b74c915c02857df779dfa723c4096265236b51f2f46e09923454a521e5f,34,3,2000000,False,100000,100000,23.024625500245747,277,200000,45.693412700169574,415
ppo-tiny-frenet-seed-1,ppo,tiny,1,06638f49c1b86f9210dd5a581cc971381c9194c8f1e88327bf2673ec1eb6aea9,34,3,2000000,False,100000,100000,23.119137100249645,336,200000,46.13095320068169,504
ppo-tiny-frenet-seed-2,ppo,tiny,2,bdc57a29bd5600288211052b069682ecb674d13e9df98f7a9eda2d34a3f7f6fd,34,3,2000000,False,200000,200000,44.97439149974889,397,300000,67.49864669968883,542
ppo-tiny-frenet-seed-3,ppo,tiny,3,4b17f97f52e90e10a04da918820c9a8c37de50481e915636869b8c0e094bdb40,34,3,2000000,False,150000,150000,35.400848500157736,406,250000,58.086232999976346,564
ppo-tiny-frenet-seed-4,ppo,tiny,4,afe16b246ade53826e0bd0c717ff46897af7b45258b5753792b73f8c176329b2,34,3,2000000,False,100000,100000,22.94174690032378,345,200000,45.86089130032269,497
reinforce-large-frenet-seed-0,reinforce,large,0,2b584c4216d509e42358caac51f2436dea37758a1bf7a8e043f0a2b09c38b815,34,3,2000000,False,350000,350000,62.19335389992739,952,450000,77.65823649985032,1067
reinforce-large-frenet-seed-1,reinforce,large,1,d7fadb481c0451885599d6ec3715e699c44780669ba8465fdd12273f99cbf9c5,34,3,2000000,False,350000,350000,62.21700999980567,528,450000,79.11392179982977,640
reinforce-large-frenet-seed-2,reinforce,large,2,7dc85ab873a3f577716854355ded242a5146adccabc1114c223315d9eb2d6387,34,3,2000000,True,,,,,,,
reinforce-large-frenet-seed-3,reinforce,large,3,f719434ca0b83d72077813bdb9590194e2d48e9698090049b676728f8d7ff6a3,34,3,2000000,False,300000,350000,73.21681020035066,1680,450000,88.81301310037998,1800
reinforce-large-frenet-seed-4,reinforce,large,4,3a219959cb3ae9d7d6d7b6c9ad915e535398700ede8ddee5071420f3e2a85d89,34,3,2000000,False,200000,200000,44.22773070009316,1240,300000,59.398571200074,1352
reinforce-medium-frenet-seed-0,reinforce,medium,0,a287e059d76cbcb4de17a06c1fddaa3e148aee847fc19a38341e1c6ea77cecc2,34,3,2000000,False,250000,250000,49.78557129996079,1312,350000,63.159683399946516,1424
reinforce-medium-frenet-seed-1,reinforce,medium,1,881ef0e675eae851db597edd4b6ad9c76d59a3073d3651fd34eb8dfc963cf69f,34,3,2000000,False,600000,600000,104.41826649960785,1344,700000,119.10544219956137,1457
reinforce-medium-frenet-seed-2,reinforce,medium,2,dbe9d1b42ad079bec283ec48de3187203741846399f665ca9b2ee046d4536247,34,3,2000000,False,750000,750000,128.68484930046725,1568,850000,144.45870560044932,1680
reinforce-medium-frenet-seed-3,reinforce,medium,3,e3a663f4f613b2ab35debf81cbc71e19a1ce7027b9ab194c878b770b627ba5fd,34,3,2000000,False,300000,300000,58.31688349988872,1248,400000,72.98792689970833,1360
reinforce-medium-frenet-seed-4,reinforce,medium,4,f95004f947b94c96d0960622ee3d8bfba7ebb12bed791cd45e22168d8cf0a6de,34,3,2000000,False,300000,300000,56.525117900016994,1112,400000,70.65236299999378,1226
reinforce-small-frenet-seed-0,reinforce,small,0,4abed69fc061686c68297bde0bcd34ccc6b941da4cbd29aacb4f81c9a5b07c21,34,3,2000000,False,550000,550000,98.53868969968426,1648,650000,113.67142109969609,1760
reinforce-small-frenet-seed-1,reinforce,small,1,38369d2a7cd2a8a80335908d6b584637acffc0b6b7669f3add6440a9a7284cb1,34,3,2000000,False,300000,300000,63.32749569973748,1880,400000,78.2140447996644,2000
reinforce-small-frenet-seed-2,reinforce,small,2,d93ec759abb2c6c1b33247b331299c472fd0d8f467bd3ae3123b6b84ab3cc50a,34,3,2000000,False,550000,550000,103.61018289984531,1800,650000,118.70864949975476,1912
reinforce-small-frenet-seed-3,reinforce,small,3,5c27f056d1dc16ed33c9b2b9d5551421fde838ea721304f043d8a83114854a06,34,3,2000000,False,300000,300000,62.19372140000269,1432,400000,76.58444160004365,1536
reinforce-small-frenet-seed-4,reinforce,small,4,afe84808b3538231e28124a060e0241407628efa9f0b77edd9e1787fae29d8c4,34,3,2000000,False,700000,700000,125.89065380020656,1561,800000,141.5796870002905,1688
reinforce-tiny-frenet-seed-0,reinforce,tiny,0,09930d4a4e4006a80e8119835f179702c3818a8c9e3271f721d66f996fde4383,34,3,2000000,True,,,,,,,
reinforce-tiny-frenet-seed-1,reinforce,tiny,1,409713b5313cce94bcd4353795eb9e09d4e5f91ece9d26f0fa47831d212662f2,34,3,2000000,False,750000,750000,144.86185550021037,3176,850000,159.5738225001951,3296
reinforce-tiny-frenet-seed-2,reinforce,tiny,2,5abf1a9e61a887cb48b471cb5e27f121e8ce4c36b78c4a1c0a7d295d22f08842,34,3,2000000,True,,,,,,,
reinforce-tiny-frenet-seed-3,reinforce,tiny,3,86ce8f6351d887066dc061cef07897d2aa8a005d177ae0bfe66805bde89b27d9,34,3,2000000,False,1000000,1000000,163.26946919991315,3256,1100000,176.82071829985762,3376
reinforce-tiny-frenet-seed-4,reinforce,tiny,4,9083cc05ee3dcca76920a797b39825eccb50e1cd7aecd551b7cf96ecb6ef7d7b,34,3,2000000,False,1050000,1050000,181.73399480044645,2865,1150000,196.56544290014972,2984
